Variables="x""dx"
Zone t="         0"
i=  65
  6.067855166881547e-01   1.450161811706519e-02
  6.212871348052199e-01   1.923864153674326e-02
  6.405257763419632e-01   2.602337000450361e-02
  6.665491463464668e-01   3.233562575228821e-02
  6.988847720987550e-01   3.602885841664560e-02
  7.349136305154006e-01   3.659691403753085e-02
  7.715105445529314e-01   3.498974279423195e-02
  8.065002873471634e-01   3.262461939229455e-02
  8.391249067394579e-01   3.036375404324987e-02
  8.694886607827078e-01   2.841676633326651e-02
  8.979054271159743e-01   2.672915248293395e-02
  9.246345795989083e-01   2.469773770324923e-02
  9.493323173021575e-01   2.206516671440972e-02
  9.713974840165672e-01   1.838950108413284e-02
  9.897869851007001e-01   1.030205467579807e-01
  1.092807531858681e+00   1.153340142979475e-01
  1.208141546156628e+00   8.595469917803622e-02
  1.294096245334665e+00   3.433728428588296e-01
  1.637469088193494e+00   2.616788370122425e-01
  1.899147925205737e+00   9.418337055278769e-02
  1.993331295758524e+00   5.778763844350721e-04
  1.993909172142959e+00   2.444210943523872e-03
  1.996353383086483e+00   3.646616913516754e-03
  2.000000000000000e+00   0.000000000000000e+00
Zone t="       104"
i=  65
 -2.000000000000000e+00   2.728549073453535e-01
 -1.727145092654647e+00   2.556859973437324e-01
 -1.471459095310914e+00   2.221944051017333e-01
 -1.249264690209181e+00   1.626186265657432e-01
 -1.086646063643438e+00   9.753176341153458e-02
 -9.891143002319031e-01   1.914066262015901e-02
 -9.699736376117440e-01   2.297985024340832e-02
 -9.469937873683357e-01   2.615666070488942e-02
 -9.208371266634463e-01   2.886185257560925e-02
 -8.919752740878371e-01   3.100306964159727e-02
 -8.609722044462398e-01   3.264551099540491e-02
 -8.283266934508349e-01   3.370211355659913e-02
 -7.946245798942357e-01   3.411453214754279e-02
 -7.605100477466930e-01   3.414976111398083e-02
 -7.263602866327121e-01   3.398611341233038e-02
 -6.923741732203818e-01   3.368048194127737e-02
 -6.586936912791044e-01   3.336007662057761e-02
 -6.253336146585268e-01   3.308539370183228e-02
 -5.922482209566945e-01   3.274886543639521e-02
 -5.594993555202993e-01   3.216444931081963e-02
 -5.273349062094797e-01   3.103512396095298e-02
 -4.962997822485267e-01   2.916735726891495e-02
 -4.671324249796117e-01   2.658009444112686e-02
 -4.405523305384849e-01   2.380593722402358e-02
 -4.167463933144613e-01   2.186000999997506e-02
 -3.948863833144862e-01   2.222981964319160e-02
 -3.726565636712946e-01   2.716065130309053e-02
 -3.454959123682041e-01   4.028825899276378e-02
 -3.052076533754403e-01   6.403349601642672e-02
 -2.411741573590136e-01   8.754792134797840e-02
 -1.536262360110352e-01   8.555540097058734e-02
 -6.807083504044786e-02   5.383240762921704e-02
 -1.423842741123083e-02   1.566199967867687e-02
  1.423572267446049e-03   2.023394867473272e-02
  2.165752094217877e-02   8.467227454770709e-02
  1.063297954898859e-01   1.592479858029700e-01
  2.655777812928558e-01   1.665228118547864e-01
  4.321005931476422e-01   9.912655065351839e-02
  5.312271438011605e-01   4.263504002163854e-02
  5.738621838227991e-01   1.994094016084713e-02
  5.938031239836462e-01   1.383970531562218e-02
  6.076428292992684e-01   1.462525293168804e-02
  6.222680822309564e-01   1.936009672243344e-02
  6.416281789533899e-01   2.608713767632198e-02
  6.677153166297118e-01   3.229411555496331e-02
  7.000094321846752e-01   3.587589396841084e-02
  7.358853261530860e-01   3.636889478272964e-02
  7.722542209358156e-01   3.481838398378567e-02
  8.070726049196013e-01   3.246167906418807e-02
  8.395342839837894e-01   3.020679573551810e-02
  8.697410797193075e-01   2.833356251037189e-02
  8.980746422296794e-01   2.656043947595399e-02
  9.246350817056334e-01   2.457300686423325e-02
  9.492080885698666e-01   2.185366599017380e-02
  9.710617545600404e-01   1.839706350357528e-02
  9.894588180636157e-01   1.038828727540275e-01
  1.093341690817643e+00   1.161975680721739e-01
  1.209539258889817e+00   8.620521753151134e-02
  1.295744476421328e+00   3.441378215130302e-01
  1.639882297934359e+00   2.603771933354013e-01
  1.900259491269760e+00   9.254767919164952e-02
  1.992807170461409e+00   2.952069560617776e-04
  1.993102377417471e+00   2.715806110241692e-03
  1.995818183527713e+00   4.181816472287103e-03
  2.000000000000000e+00   0.000000000000000e+00
Zone t="       105"
i=  65
 -2.000000000000000e+00   2.726724973924595e-01
 -1.727327502607541e+00   2.557051752490440e-01
 -1.471622327358497e+00   2.223474780868204e-01
 -1.249274849271676e+00   1.627287512997362e-01
 -1.086546097971940e+00   9.772345678014338e-02
 -9.888226411917965e-01   1.951128113488998e-02
 -9.693113600569066e-01   2.373855971039152e-02
 -9.455728003465150e-01   2.704531924888010e-02
 -9.185274810976349e-01   2.961945994814275e-02
 -8.889080211494922e-01   3.161241970725470e-02
 -8.572956014422375e-01   3.297045383132513e-02
 -8.243251476109124e-01   3.375182704530300e-02
 -7.905733205656094e-01   3.409286941874778e-02
 -7.564804511468616e-01   3.408425525447723e-02
 -7.223961958923844e-01   3.386397646737238e-02
 -6.885322194250120e-01   3.349157481793907e-02
 -6.550406446070729e-01   3.306928342436499e-02
 -6.219713611827079e-01   3.269443310896314e-02
 -5.892769280737448e-01   3.238176600316001e-02
 -5.568951620705848e-01   3.188702785309461e-02
 -5.250081342174902e-01   3.083917646114953e-02
 -4.941689577563406e-01   2.897000618064427e-02
 -4.651989515756964e-01   2.632593229719371e-02
 -4.388730192785026e-01   2.346885246942154e-02
 -4.154041668090811e-01   2.148740646157843e-02
 -3.939167603475027e-01   2.186797427503651e-02
 -3.720487860724662e-01   2.680965826977000e-02
 -3.452391278026962e-01   3.993164167492425e-02
 -3.053074861277719e-01   6.373877436909325e-02
 -2.415687117586787e-01   8.746274838538137e-02
 -1.541059633732973e-01   8.570374860007612e-02
 -6.840221477322117e-02   5.401630189746720e-02
 -1.438591287575397e-02   1.580208493322299e-02
  1.416172057469023e-03   2.017083252997454e-02
  2.158700458744356e-02   8.500171848209182e-02
  1.065887230695354e-01   1.599587131790435e-01
  2.665474362485789e-01   1.672183010424024e-01
  4.337657372909813e-01   9.945917315128783e-02
